Order ID,Order Date,Customer ID,Product ID,Category,Sales,Quantity,Profit
CA-2016-152156,08-11-2016,CG-12520,FUR-BO-10001798,Furniture,261.96,2.00,41.91
CA-2016-152156,08-11-2016,CG-12520,FUR-CH-10000454,Furniture,731.94,3.00,219.58
CA-2016-138688,12-06-2016,DV-13045,OFF-LA-10000240,Office Supplies,14.62,2.00,6.87
US-2015-108966,11-10-2015,SO-20335,FUR-TA-10000577,Furniture,957.58,5.00,-383.03
US-2015-108966,11-10-2015,SO-20335,OFF-ST-10000760,Office Supplies,22.37,2.00,2.52
CA-2014-115812,09-06-2014,BH-11710,FUR-FU-10001487,Furniture,48.86,7.00,14.17
CA-2014-115812,09-06-2014,BH-11710,OFF-AR-10002833,Office Supplies,7.28,4.00,1.97
CA-2014-115812,09-06-2014,BH-11710,TEC-PH-10002275,Technology,907.15,6.00,90.72
CA-2014-115812,09-06-2014,BH-11710,OFF-BI-10003910,Office Supplies,18.50,3.00,5.78
CA-2014-115812,09-06-2014,BH-11710,OFF-AP-10002892,Office Supplies,114.90,5.00,34.47
CA-2014-115812,09-06-2014,BH-11710,FUR-TA-10001539,Furniture,1706.18,9.00,85.31
CA-2014-115812,09-06-2014,BH-11710,TEC-PH-10002033,Technology,911.42,4.00,68.36
CA-2017-114412,15-04-2017,AA-10480,OFF-PA-10002365,Office Supplies,15.55,3.00,5.44
CA-2016-161389,05-12-2016,IM-15070,OFF-BI-10003656,Office Supplies,407.98,3.00,132.59
US-2015-118983,22-11-2015,HP-14815,OFF-AP-10002311,Office Supplies,68.81,5.00,-123.86
US-2015-118983,22-11-2015,HP-14815,OFF-BI-10000756,Office Supplies,2.54,3.00,-3.82
CA-2014-105893,11-11-2014,PK-19075,OFF-ST-10004186,Office Supplies,665.88,6.00,13.32
CA-2014-167164,13-05-2014,AG-10270,OFF-ST-10000107,Office Supplies,55.50,2.00,9.99
CA-2014-143336,27-08-2014,ZD-21925,OFF-AR-10003056,Office Supplies,8.56,2.00,2.48
CA-2014-143336,27-08-2014,ZD-21925,TEC-PH-10001949,Technology,213.48,3.00,16.01
CA-2014-143336,27-08-2014,ZD-21925,OFF-BI-10002215,Office Supplies,22.72,4.00,7.38
CA-2016-137330,09-12-2016,KB-16585,OFF-AR-10000246,Office Supplies,19.46,7.00,5.06
CA-2016-137330,09-12-2016,KB-16585,OFF-AP-10001492,Office Supplies,60.34,7.00,15.69
US-2017-156909,16-07-2017,SF-20065,FUR-CH-10002774,Furniture,71.37,2.00,-1.02
CA-2015-106320,25-09-2015,EB-13870,FUR-TA-10000577,Furniture,1044.63,3.00,240.26
CA-2016-121755,16-01-2016,EH-13945,OFF-BI-10001634,Office Supplies,11.65,2.00,4.22
CA-2016-121755,16-01-2016,EH-13945,TEC-AC-10003027,Technology,90.57,3.00,11.77
US-2015-150630,17-09-2015,TB-21520,FUR-BO-10004834,Furniture,3083.43,7.00,-1665.05
US-2015-150630,17-09-2015,TB-21520,OFF-BI-10000474,Office Supplies,9.62,2.00,-7.05
US-2015-150630,17-09-2015,TB-21520,FUR-FU-10004848,Furniture,124.20,3.00,15.53
